N_EXPEDIENT,DISTRICTE,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,LONGITUD, LATITUD
02-2008-1102,L'EIXAMPLE,la Dreta de l'Eixample,C,ROSSELLO,2,202,,,,,,,EN,1,2.15771386,41.39343953
10-2008-0525,SANT MARTI,el Poblenou,C,PERE IV,2,244,,246,,,,,5,2,2.19975414,41.40509348
02-2009-0007,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,ENTENÇA,2,98,,,,,,,1,3,2.15003665,41.38019371
02-2009-0008,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,ENTENÇA,2,98,,,,,,,2,1,2.15003665,41.38019371
05-2008-0420,SARRIA-SANT GERVASI,Sarrià,C,BENET MATEU,2,26,,,,,,,3,2,2.12697479,41.39232995
10-2008-0634,SANT MARTI,el Camp de l'Arpa del Clot,C,INDEPENDENCIA,1,287,,,,,,,5,1,2.18286578,41.40803773
10-2008-0635,SANT MARTI,el Camp de l'Arpa del Clot,C,INDEPENDENCIA,1,287,,,,,,,5,2,2.18286578,41.40803773
02-2009-0029,L'EIXAMPLE,,PL,DOCTOR LETAMENDI,2,26,,,,,,,1,1,2.16067818,41.38952903
02-2009-0065,L'EIXAMPLE,Sant Antoni,C,TAMARIT,2,136,,,,,,,6,4,2.15956277,41.37745594
02-2009-0066,L'EIXAMPLE,Sant Antoni,C,TAMARIT,2,102,,,,,,,4,2,2.15742183,41.37584119
09-2014-0284,SANT ANDREU,Sant Andreu,C,SANT ILDEFONS,2,20,,,,,,,1,2,2.19065612,41.42892885
02-2008-0922,L'EIXAMPLE,la Dreta de l'Eixample,C,GIRONA,1,97,,,,,,,3,4,2.16919030,41.39614379
02-2008-0923,L'EIXAMPLE,la Dreta de l'Eixample,C,GIRONA,1,97,,,,,,,4,4,2.16919030,41.39614379
02-2008-0924,L'EIXAMPLE,la Dreta de l'Eixample,C,GIRONA,1,97,,,,,,,AT,1,2.16919030,41.39614379
02-2008-0925,L'EIXAMPLE,la Dreta de l'Eixample,C,GIRONA,1,97,,,,,,,AT,2,2.16919030,41.39614379
02-2008-0785,L'EIXAMPLE,la Sagrada Família,C,LEPANT,1,315,,,,,,,1,2,2.17345276,41.40674399
10-2008-0502,SANT MARTI,el Clot,C,ESPRONCEDA,1,305,,307,,,,,SA,3,2.19262456,41.41424277
10-2008-0503,SANT MARTI,el Camp de l'Arpa del Clot,C,CORUNYA,2,20,,,,,,,AT,2,2.18513808,41.40839102
02-2008-1108,L'EIXAMPLE,la Dreta de l'Eixample,C,GIRONA,1,103,,,,,,,3,2,2.16890212,41.39635784
06-2008-0373,GRACIA,la Vila de Gràcia,C,FRANCISCO GINER,2,16,,,,,,,4,2,2.15945443,41.39890168
02-2009-0163,L'EIXAMPLE,la Dreta de l'Eixample,C,ARAGO,1,373,,,,,,,4,1,2.17282715,41.39837373
02-2009-0153,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,DIPUTACIO,2,18,,,,,,,5,B,2.15024889,41.37762213
02-2008-1114,L'EIXAMPLE,la Dreta de l'Eixample,C,ROGER DE LLURIA,1,119,,,,,,,SA,,2.16433523,41.39640409
07-2008-0263,HORTA-GUINARDÓ,el Guinardó,C,RENAIXENÇA,2,54,,,,,,,BJ,C,2.17752431,41.41838851
07-2008-0262,HORTA-GUINARDÓ,el Guinardó,C,RENAIXENÇA,2,54,,56,,,,,BJ,B,2.17752431,41.41838851
06-2008-0294,GRACIA,el Camp d'en Grassot i Gràcia Nova,C,SARDENYA,1,359,,,,,,,2,3,2.17013165,41.40566703
03-2008-0406,SANTS-MONTJUÏC,Sants - Badal,C,SANTS,1,273,,,,,,,1,2,2.12998847,41.37542786
02-2009-0121,L'EIXAMPLE,la Sagrada Família,C,CASTILLEJOS,1,213,,,,,,,5,2,2.18188430,41.40364222
02-2009-0067,L'EIXAMPLE,Sant Antoni,C,VILADOMAT,1,71,,,,,,,2,2,2.15911683,41.37817723
